sku_id,family,unit_cost,avg_demand,mape,bias,excess_stock_units,excess_stock_eur,stockout_risk_units,stockout_risk_eur,financial_score,risk_category,has_bias_flag,has_seasonality,has_bullwhip,mape_baseline,mape_hw,mape_xgb,best_model,best_mape,bullwhip_ratio,total_exposure_eur
SKU-042,Diagnostic Equipment,1883.36,11.93421052631579,24.6,20.0,124.0,233537.0,0.0,0.0,1.0,HIGH,1,0,0,15.6,10.8,12.3,Holt-Winters,10.8,1.1153552297186216,233537.0
SKU-024,Surgical Consumables,41.28,220.3815789473684,24.3,19.7,2258.0,93210.0,0.0,0.0,0.39912305116533997,HIGH,1,1,0,16.0,41.9,13.2,XGBoost,13.2,1.4413907200427452,93210.0
SKU-019,Medical Devices,815.8,16.980263157894736,23.8,19.6,173.0,141133.0,0.0,0.0,0.6043282220804412,HIGH,1,0,0,11.1,10.3,16.8,Holt-Winters,10.3,0.9402845960502488,141133.0
SKU-013,Medical Devices,927.9,16.861842105263158,23.2,18.9,166.0,154031.0,0.0,0.0,0.6595571579664036,HIGH,1,0,0,18.7,14.5,16.1,Holt-Winters,14.5,1.7955878656316644,154031.0
SKU-030,Surgical Consumables,44.75,217.1578947368421,23.2,18.6,2100.0,93975.0,0.0,0.0,0.40239876336511987,HIGH,1,0,0,9.4,8.9,10.9,Holt-Winters,8.9,1.1358663945758503,93975.0
SKU-028,Surgical Consumables,44.79,228.3684210526316,23.3,18.5,2197.0,98404.0,0.0,0.0,0.4213636383099894,HIGH,1,0,0,9.5,17.3,17.0,Baseline,9.5,1.5361784000879513,98404.0
SKU-034,Surgical Consumables,44.13,233.83552631578948,22.1,18.1,2201.0,97130.0,0.0,0.0,0.41590839995375467,HIGH,1,1,1,11.6,27.6,14.6,Baseline,11.6,1.256886426176056,97130.0
SKU-003,Medical Devices,711.86,16.592105263157894,22.4,17.7,153.0,108915.0,0.0,0.0,0.46637149573729214,HIGH,1,0,0,11.9,11.7,24.1,Holt-Winters,11.7,0.5348659626765268,108915.0
SKU-021,Surgical Consumables,43.6,213.0921052631579,21.8,17.1,1895.0,82622.0,0.0,0.0,0.35378548152969336,HIGH,1,0,0,14.7,10.6,10.4,XGBoost,10.4,0.33364232960133955,82622.0
SKU-029,Surgical Consumables,40.31,218.4671052631579,21.5,16.9,1920.0,77395.0,0.0,0.0,0.3314035891528965,HIGH,1,0,1,9.5,9.3,11.5,Holt-Winters,9.3,1.758551331060634,77395.0
SKU-036,Surgical Consumables,37.21,215.3815789473684,21.1,16.8,1882.0,70029.0,0.0,0.0,0.2998625485469112,HIGH,1,0,0,9.8,8.4,13.2,Holt-Winters,8.4,0.17955806512741865,70029.0
SKU-014,Medical Devices,913.98,16.401315789473685,20.6,16.8,143.0,130699.0,0.0,0.0,0.5596500768614824,HIGH,1,0,0,8.9,8.0,8.4,Holt-Winters,8.0,1.3625945125075771,130699.0
SKU-032,Surgical Consumables,43.62,206.17763157894737,19.1,16.8,1801.0,78560.0,0.0,0.0,0.33639209204537185,MEDIUM,1,0,0,,,,,,1.9711728019830117,78560.0
