sku_id,mape_baseline,mape_hw,mape_xgb,family,has_seasonality,has_bias,best_model,best_mape
SKU-019,11.7,9.3,12.3,Medical Devices,0,1,Holt-Winters,9.3
SKU-015,10.3,9.2,14.5,Medical Devices,0,1,Holt-Winters,9.2
SKU-035,16.1,85.5,17.1,Surgical Consumables,1,1,Baseline,16.1
SKU-013,9.5,8.1,10.8,Medical Devices,0,1,Holt-Winters,8.1
SKU-024,21.1,147.2,13.5,Surgical Consumables,1,1,XGBoost,13.5
SKU-005,12.9,8.3,19.7,Medical Devices,0,1,Holt-Winters,8.3
SKU-030,9.7,10.8,17.7,Surgical Consumables,0,1,Baseline,9.7
SKU-032,10.0,13.3,14.4,Surgical Consumables,0,1,Baseline,10.0
SKU-049,15.8,11.8,29.7,Diagnostic Equipment,0,1,Holt-Winters,11.8
SKU-014,11.0,9.6,11.3,Medical Devices,0,1,Holt-Winters,9.6
SKU-048,12.4,47.7,17.1,Diagnostic Equipment,1,1,Baseline,12.4
