sku_id,week,actual_demand,outlier_type,is_outlier_true,is_outlier_if,if_score
SKU-001,2022-02-07,22,none,0,0,0.15
SKU-001,2022-02-14,18,none,0,0,0.1174
SKU-001,2022-02-21,21,none,0,0,0.1375
SKU-001,2022-02-28,15,none,0,0,0.1721
SKU-001,2022-03-07,17,none,0,0,0.1552
SKU-001,2022-03-14,15,none,0,0,0.1924
SKU-001,2022-03-21,13,none,0,0,0.1489
SKU-001,2022-03-28,14,none,0,0,0.1981
SKU-001,2022-04-04,15,none,0,0,0.2039
SKU-001,2022-04-11,14,none,0,0,0.2092
SKU-001,2022-04-18,14,none,0,0,0.207
SKU-001,2022-04-25,18,none,0,0,0.1355
SKU-001,2022-05-02,12,none,0,0,0.1361
SKU-001,2022-05-09,14,none,0,0,0.1942
SKU-001,2022-05-16,14,none,0,0,0.1899
SKU-001,2022-05-23,37,business,1,1,-0.0657
SKU-001,2022-05-30,11,none,0,0,0.1691
SKU-001,2022-06-06,10,none,0,0,0.1481
SKU-001,2022-06-13,11,none,0,0,0.1946
SKU-001,2022-06-20,11,none,0,0,0.1987
SKU-001,2022-06-27,10,none,0,0,0.1447
SKU-001,2022-07-04,11,none,0,0,0.1975
SKU-001,2022-07-11,11,none,0,0,0.2029
SKU-001,2022-07-18,12,none,0,0,0.1966
SKU-001,2022-07-25,12,none,0,0,0.2045
SKU-001,2022-08-01,12,none,0,0,0.1908
SKU-001,2022-08-08,11,none,0,0,0.185
SKU-001,2022-08-15,21,business,1,0,0.0797
SKU-001,2022-08-22,12,none,0,0,0.1995
SKU-001,2022-08-29,12,none,0,0,0.1945
SKU-001,2022-09-05,13,none,0,0,0.1757
SKU-001,2022-09-12,17,none,0,0,0.158
SKU-001,2022-09-19,15,none,0,0,0.181
SKU-001,2022-09-26,16,none,0,0,0.1791
SKU-001,2022-10-03,17,none,0,0,0.1653
SKU-001,2022-10-10,14,none,0,0,0.1858
SKU-001,2022-10-17,13,none,0,0,0.1684
SKU-001,2022-10-24,12,none,0,0,0.1161
SKU-001,2022-10-31,16,none,0,0,0.1768
SKU-001,2022-11-07,52,business,1,1,-0.1072
SKU-001,2022-11-14,23,none,0,0,0.1152
SKU-001,2022-11-21,17,none,0,0,0.1391
SKU-001,2022-11-28,24,none,0,0,0.0888
SKU-001,2022-12-05,21,none,0,0,0.1634
SKU-001,2022-12-12,22,none,0,0,0.1325
SKU-001,2022-12-19,17,none,0,0,0.09
SKU-001,2022-12-26,21,none,0,0,0.1282
SKU-001,2023-01-02,19,none,0,0,0.0743
SKU-001,2023-01-09,24,none,0,0,0.0396
SKU-001,2023-01-16,20,none,0,0,0.1141
SKU-001,2023-01-23,22,none,0,0,0.1309
SKU-001,2023-01-30,22,none,0,0,0.1465
SKU-001,2023-02-06,20,none,0,0,0.1572
SKU-001,2023-02-13,22,none,0,0,0.1414
SKU-001,2023-02-20,24,none,0,0,0.0641
SKU-001,2023-02-27,15,none,0,0,0.1721
SKU-001,2023-03-06,15,none,0,0,0.1856
SKU-001,2023-03-13,15,none,0,0,0.1924
SKU-001,2023-03-20,14,none,0,0,0.1826
SKU-001,2023-03-27,15,none,0,0,0.1947
SKU-001,2023-04-03,32,business,1,1,-0.0388
SKU-001,2023-04-10,17,none,0,0,0.1751
SKU-001,2023-04-17,14,none,0,0,0.207
SKU-001,2023-04-24,13,none,0,0,0.1687
SKU-001,2023-05-01,16,none,0,0,0.1944
SKU-001,2023-05-08,16,none,0,0,0.1918
SKU-001,2023-05-15,16,none,0,0,0.1846
SKU-001,2023-05-22,15,none,0,0,0.1686
SKU-001,2023-05-29,10,none,0,0,0.1239
SKU-001,2023-06-05,11,none,0,0,0.1938
SKU-001,2023-06-12,12,none,0,0,0.1827
SKU-001,2023-06-19,11,none,0,0,0.1987
SKU-001,2023-06-26,12,none,0,0,0.1993
SKU-001,2023-07-03,9,none,0,0,0.0861
SKU-001,2023-07-10,12,none,0,0,0.2054
SKU-001,2023-07-17,11,none,0,0,0.1927
SKU-001,2023-07-24,10,none,0,0,0.1478
SKU-001,2023-07-31,29,business,1,1,-0.017
SKU-001,2023-08-07,10,none,0,0,0.1457
SKU-001,2023-08-14,13,none,0,0,0.1861
SKU-001,2023-08-21,10,none,0,0,0.1406
SKU-001,2023-08-28,9,none,0,0,0.0792
SKU-001,2023-09-04,16,none,0,0,0.1721
SKU-001,2023-09-11,12,none,0,0,0.1669
SKU-001,2023-09-18,14,none,0,0,0.1719
SKU-001,2023-09-25,14,none,0,0,0.176
SKU-001,2023-10-02,17,none,0,0,0.1653
SKU-001,2023-10-09,15,none,0,0,0.1748
SKU-001,2023-10-16,14,none,0,0,0.1768
SKU-001,2023-10-23,14,none,0,0,0.1824
SKU-001,2023-10-30,16,none,0,0,0.1768
SKU-001,2023-11-06,23,none,0,0,0.1047
SKU-001,2023-11-13,21,none,0,0,0.1648
SKU-001,2023-11-20,21,none,0,0,0.1644
SKU-001,2023-11-27,16,none,0,0,0.1265
SKU-001,2023-12-04,19,none,0,0,0.1208
SKU-001,2023-12-11,21,none,0,0,0.1508
SKU-001,2023-12-18,24,none,0,0,0.0865
SKU-001,2023-12-25,21,none,0,0,0.1282
SKU-001,2024-01-01,21,none,0,0,0.0605
SKU-001,2024-01-08,22,none,0,0,0.0988
SKU-001,2024-01-15,19,none,0,0,0.0978
SKU-001,2024-01-22,23,none,0,0,0.0877
SKU-001,2024-01-29,21,none,0,0,0.1345
SKU-001,2024-02-05,20,none,0,0,0.1572
SKU-001,2024-02-12,20,none,0,0,0.1516
SKU-001,2024-02-19,19,none,0,0,0.139
SKU-001,2024-02-26,17,none,0,0,0.1456
SKU-001,2024-03-04,14,none,0,0,0.1588
SKU-001,2024-03-11,13,none,0,0,0.1323
SKU-001,2024-03-18,15,none,0,0,0.1916
SKU-001,2024-03-25,14,none,0,0,0.1981
SKU-001,2024-04-01,13,none,0,0,0.1661
SKU-001,2024-04-08,14,none,0,0,0.2092
SKU-001,2024-04-15,17,none,0,0,0.1797
SKU-001,2024-04-22,16,none,0,0,0.1916
SKU-001,2024-04-29,15,none,0,0,0.2026
SKU-001,2024-05-06,15,none,0,0,0.1994
SKU-001,2024-05-13,17,none,0,0,0.1712
SKU-001,2024-05-20,27,business,1,0,0.0151
SKU-001,2024-05-27,11,none,0,0,0.1691
SKU-001,2024-06-03,11,none,0,0,0.1938
SKU-001,2024-06-10,14,none,0,0,0.1602
SKU-001,2024-06-17,9,none,0,0,0.0847
SKU-001,2024-06-24,13,none,0,0,0.176
SKU-001,2024-07-01,12,none,0,0,0.2006
SKU-001,2024-07-08,11,none,0,0,0.2029
SKU-001,2024-07-15,11,none,0,0,0.1927
SKU-001,2024-07-22,13,none,0,0,0.1817
SKU-001,2024-07-29,13,none,0,0,0.1791
SKU-001,2024-08-05,11,none,0,0,0.185
SKU-001,2024-08-12,12,none,0,0,0.1947
SKU-001,2024-08-19,13,none,0,0,0.1867
SKU-001,2024-08-26,11,none,0,0,0.1686
SKU-001,2024-09-02,16,none,0,0,0.1721
SKU-001,2024-09-09,17,none,0,0,0.158
SKU-001,2024-09-16,15,none,0,0,0.181
SKU-001,2024-09-23,11,none,0,0,0.1157
SKU-001,2024-09-30,16,none,0,0,0.1742
SKU-001,2024-10-07,13,none,0,0,0.166
SKU-001,2024-10-14,13,none,0,0,0.1684
SKU-001,2024-10-21,14,none,0,0,0.1824
SKU-001,2024-10-28,16,none,0,0,0.1768
SKU-001,2024-11-04,18,none,0,0,0.1351
SKU-001,2024-11-11,21,none,0,0,0.1648
SKU-001,2024-11-18,22,none,0,0,0.138
SKU-001,2024-11-25,21,none,0,0,0.1604
SKU-001,2024-12-02,22,none,0,0,0.1416
SKU-001,2024-12-09,49,business,1,1,-0.1071
SKU-001,2024-12-16,25,none,0,0,0.0532
SKU-001,2024-12-23,19,none,0,0,0.0749
SKU-001,2024-12-30,19,none,0,0,0.0743
SKU-002,2022-02-07,18,none,0,0,0.1695
SKU-002,2022-02-14,18,none,0,0,0.1739
SKU-002,2022-02-21,19,none,0,0,0.1827
SKU-002,2022-02-28,15,none,0,0,0.1826
SKU-002,2022-03-07,17,none,0,0,0.1872
SKU-002,2022-03-14,16,none,0,0,0.2063
SKU-002,2022-03-21,16,none,0,0,0.2021
SKU-002,2022-03-28,14,none,0,0,0.1913
SKU-002,2022-04-04,15,none,0,0,0.2124
SKU-002,2022-04-11,16,none,0,0,0.2033
SKU-002,2022-04-18,120,noise,1,1,-0.1372
SKU-002,2022-04-25,15,none,0,0,0.21
SKU-002,2022-05-02,14,none,0,0,0.2053
SKU-002,2022-05-09,14,none,0,0,0.1996
SKU-002,2022-05-16,15,none,0,0,0.2059
SKU-002,2022-05-23,16,none,0,0,0.2047
SKU-002,2022-05-30,13,none,0,0,0.1999
SKU-002,2022-06-06,12,none,0,0,0.2042
SKU-002,2022-06-13,12,none,0,0,0.2084
SKU-002,2022-06-20,8,none,0,0,0.0949
SKU-002,2022-06-27,11,none,0,0,0.2128
SKU-002,2022-07-04,13,none,0,0,0.1918
SKU-002,2022-07-11,12,none,0,0,0.2042
SKU-002,2022-07-18,11,none,0,0,0.2063
SKU-002,2022-07-25,12,none,0,0,0.206
SKU-002,2022-08-01,11,none,0,0,0.2108
SKU-002,2022-08-08,9,none,0,0,0.133
SKU-002,2022-08-15,13,none,0,0,0.2042
SKU-002,2022-08-22,11,none,0,0,0.2047
SKU-002,2022-08-29,9,none,0,0,0.1125
SKU-002,2022-09-05,16,none,0,0,0.1993
SKU-002,2022-09-12,15,none,0,0,0.2056
SKU-002,2022-09-19,14,none,0,0,0.1944
SKU-002,2022-09-26,14,none,0,0,0.2008
SKU-002,2022-10-03,28,business,1,0,0.016
SKU-002,2022-10-10,16,none,0,0,0.215
SKU-002,2022-10-17,16,none,0,0,0.2073
SKU-002,2022-10-24,16,none,0,0,0.2074
SKU-002,2022-10-31,19,none,0,0,0.1698
SKU-002,2022-11-07,15,none,0,0,0.1647
SKU-002,2022-11-14,16,none,0,0,0.1719
SKU-002,2022-11-21,18,none,0,0,0.1895
SKU-002,2022-11-28,18,none,0,0,0.1808
SKU-002,2022-12-05,23,none,0,0,0.0601
SKU-002,2022-12-12,18,none,0,0,0.1524
SKU-002,2022-12-19,18,none,0,0,0.144
SKU-002,2022-12-26,19,none,0,0,0.0829
SKU-002,2023-01-02,22,none,0,0,0.0677
SKU-002,2023-01-09,19,none,0,0,0.1152
SKU-002,2023-01-16,17,none,0,0,0.1088
SKU-002,2023-01-23,19,none,0,0,0.1487
SKU-002,2023-01-30,17,none,0,0,0.1565
SKU-002,2023-02-06,22,none,0,0,0.1077
SKU-002,2023-02-13,19,none,0,0,0.1859
SKU-002,2023-02-20,20,none,0,0,0.1778
SKU-002,2023-02-27,14,none,0,0,0.1774
SKU-002,2023-03-06,14,none,0,0,0.1896
