SKU_ID,Family,Market,Unit_Cost,has_bias,has_seasonality,has_bullwhip
SKU-001,Medical Devices,Benelux,717.85,0,1,0
SKU-002,Medical Devices,France,910.08,0,1,0
SKU-003,Medical Devices,France,711.86,1,0,0
SKU-004,Medical Devices,Benelux,900.96,0,1,0
SKU-005,Medical Devices,France,937.99,1,0,0
SKU-006,Medical Devices,France,1005.45,0,1,1
SKU-007,Medical Devices,Germany,885.27,0,0,0
SKU-008,Medical Devices,Germany,706.79,0,0,0
SKU-009,Medical Devices,Germany,876.3,0,1,0
SKU-010,Medical Devices,Germany,1014.98,0,0,0
SKU-011,Medical Devices,Germany,896.13,0,0,0
SKU-012,Medical Devices,Germany,918.62,0,1,0
SKU-013,Medical Devices,Benelux,927.9,1,0,0
SKU-014,Medical Devices,Benelux,913.98,1,0,0
SKU-015,Medical Devices,France,757.88,1,0,0
SKU-016,Medical Devices,France,990.47,0,0,0
SKU-017,Medical Devices,Germany,814.51,0,0,0
SKU-018,Medical Devices,France,933.3,0,0,0
SKU-019,Medical Devices,Benelux,815.8,1,0,0
SKU-020,Medical Devices,France,936.97,0,1,0
SKU-021,Surgical Consumables,Benelux,43.6,1,0,0
SKU-022,Surgical Consumables,Benelux,40.53,0,0,0
SKU-023,Surgical Consumables,France,48.27,0,1,0
SKU-024,Surgical Consumables,France,41.28,1,1,0
SKU-025,Surgical Consumables,Benelux,40.74,0,1,0
SKU-026,Surgical Consumables,Benelux,41.37,0,0,0
SKU-027,Surgical Consumables,France,45.71,0,0,1
SKU-028,Surgical Consumables,Germany,44.79,1,0,0
SKU-029,Surgical Consumables,Germany,40.31,1,0,1
SKU-030,Surgical Consumables,Benelux,44.75,1,0,0
SKU-031,Surgical Consumables,France,47.88,0,1,0
SKU-032,Surgical Consumables,Benelux,43.62,1,0,0
SKU-033,Surgical Consumables,France,48.83,0,0,0
SKU-034,Surgical Consumables,Benelux,44.13,1,1,1
SKU-035,Surgical Consumables,Benelux,40.14,1,1,0
SKU-036,Surgical Consumables,France,37.21,1,0,0
SKU-037,Surgical Consumables,Germany,48.04,1,1,0
SKU-038,Surgical Consumables,Benelux,46.37,1,0,0
SKU-039,Surgical Consumables,France,37.74,0,0,0
SKU-040,Surgical Consumables,Benelux,36.98,0,0,1
SKU-041,Diagnostic Equipment,Benelux,2058.59,0,1,0
SKU-042,Diagnostic Equipment,Germany,1883.36,1,0,0
SKU-043,Diagnostic Equipment,France,2149.96,0,0,1
SKU-044,Diagnostic Equipment,Benelux,2495.7,0,0,0
SKU-045,Diagnostic Equipment,France,2117.64,0,0,0
SKU-046,Diagnostic Equipment,France,2093.5,0,1,0
SKU-047,Diagnostic Equipment,Germany,2011.02,0,0,0
SKU-048,Diagnostic Equipment,Benelux,2392.2,1,1,0
SKU-049,Diagnostic Equipment,Benelux,2407.45,1,0,1
SKU-050,Diagnostic Equipment,Germany,2202.51,0,1,0
