sku_id,family,market,unit_cost,has_bias_flag,has_seasonality,has_bullwhip,avg_demand,mape,bias,total_weeks,excess_stock_units,excess_stock_eur,stockout_risk_units,stockout_risk_eur,mape_score,bias_score,financial_score,risk_score,risk_category
SKU-019,Medical Devices,Benelux,815.8,1,0,0,17.44736842105263,28.1,21.5,152,195.0,159081.0,0.0,0.0,1.0,1.0,0.7008353768987355,0.91,HIGH
SKU-015,Medical Devices,France,757.88,1,0,0,18.723684210526315,25.4,20.7,152,202.0,153092.0,0.0,0.0,0.8851063829787232,0.9622641509433962,0.6741807565123348,0.853,HIGH
SKU-035,Surgical Consumables,Benelux,40.14,1,1,0,232.84868421052633,26.6,20.3,152,2458.0,98664.0,0.0,0.0,0.9361702127659575,0.9433962264150944,0.43194370885980177,0.788,HIGH
SKU-013,Medical Devices,Benelux,927.9,1,0,0,17.355263157894736,21.8,19.7,152,178.0,165166.0,0.0,0.0,0.7319148936170214,0.9150943396226415,0.7279172545162425,0.804,HIGH
SKU-024,Surgical Consumables,France,41.28,1,1,0,221.47368421052633,22.8,19.2,152,2211.0,91270.0,0.0,0.0,0.7744680851063831,0.8915094339622641,0.39903600087231683,0.709,HIGH
SKU-005,Medical Devices,France,937.99,1,0,0,16.88157894736842,23.1,19.0,152,167.0,156644.0,0.0,0.0,0.7872340425531915,0.8820754716981132,0.6899892740632608,0.796,HIGH
SKU-030,Surgical Consumables,Benelux,44.75,1,0,0,222.79605263157896,21.3,17.7,152,2051.0,91782.0,0.0,0.0,0.7106382978723406,0.820754716981132,0.40131470610488273,0.662,HIGH
SKU-032,Surgical Consumables,Benelux,43.62,1,0,0,226.30921052631578,21.9,17.4,152,2048.0,89334.0,0.0,0.0,0.7361702127659573,0.8066037735849055,0.390419646711677,0.661,HIGH
SKU-049,Diagnostic Equipment,Benelux,2407.45,1,0,1,10.81578947368421,20.5,16.8,152,94.0,226300.0,0.0,0.0,0.676595744680851,0.7783018867924528,1.0,0.814,HIGH
SKU-034,Surgical Consumables,Benelux,44.13,1,1,1,220.0328947368421,20.3,16.6,152,1899.0,83803.0,0.0,0.0,0.6680851063829788,0.768867924528302,0.365803399365345,0.618,MEDIUM
SKU-014,Medical Devices,Benelux,913.98,1,0,0,16.79605263157895,20.3,16.0,152,140.0,127957.0,0.0,0.0,0.6680851063829788,0.7405660377358491,0.56231502209721,0.665,HIGH
SKU-029,Surgical Consumables,Germany,40.31,1,0,1,206.73684210526315,20.2,15.7,152,1688.0,68043.0,0.0,0.0,0.6638297872340425,0.7264150943396226,0.2956620039254258,0.578,MEDIUM
SKU-048,Diagnostic Equipment,Benelux,2392.2,1,1,0,11.230263157894736,21.2,15.5,152,91.0,217690.0,0.0,0.0,0.7063829787234043,0.7169811320754716,0.961680367085171,0.787,HIGH
SKU-037,Surgical Consumables,Germany,48.04,1,1,0,208.96052631578948,20.6,15.3,152,1662.0,79842.0,0.0,0.0,0.6808510638297872,0.7075471698113208,0.3481745879860607,0.592,MEDIUM
SKU-003,Medical Devices,France,711.86,1,0,0,16.138157894736842,19.8,15.1,152,127.0,90406.0,0.0,0.0,0.6468085106382979,0.6981132075471698,0.3951906857923619,0.592,MEDIUM
SKU-042,Diagnostic Equipment,Germany,1883.36,1,0,0,10.171052631578947,18.5,14.9,152,79.0,148785.0,0.0,0.0,0.5914893617021276,0.6886792452830188,0.6550120388626056,0.649,MEDIUM
SKU-028,Surgical Consumables,Germany,44.79,1,0,0,212.79605263157896,18.2,14.8,152,1638.0,73366.0,0.0,0.0,0.5787234042553191,0.6839622641509434,0.319352527271028,0.543,MEDIUM
SKU-038,Surgical Consumables,Benelux,46.37,1,0,0,209.5065789473684,19.0,14.5,152,1580.0,73265.0,0.0,0.0,0.6127659574468085,0.6698113207547169,0.3189030170591351,0.547,MEDIUM
SKU-036,Surgical Consumables,France,37.21,1,0,0,205.08552631578948,18.8,14.4,152,1536.0,57155.0,0.0,0.0,0.6042553191489363,0.6650943396226415,0.24720391296414154,0.521,MEDIUM
SKU-021,Surgical Consumables,Benelux,43.6,1,0,0,206.67763157894737,18.9,14.4,152,1548.0,67493.0,0.0,0.0,0.6085106382978723,0.6650943396226415,0.2932141760388804,0.537,MEDIUM
SKU-050,Diagnostic Equipment,Germany,2202.51,0,1,0,12.618421052631579,13.0,8.4,152,55.0,121138.0,0.0,0.0,0.3574468085106383,0.3820754716981132,0.5319664069002042,0.42,MEDIUM
SKU-047,Diagnostic Equipment,Germany,2011.02,0,0,0,11.256578947368421,11.6,8.3,152,49.0,98540.0,0.0,0.0,0.2978723404255319,0.37735849056603776,0.43139183493628974,0.37,MEDIUM
SKU-023,Surgical Consumables,France,48.27,0,1,0,242.58552631578948,15.5,8.1,152,1022.0,49332.0,0.0,0.0,0.46382978723404256,0.3679245283018868,0.21238689922515122,0.35,MEDIUM
SKU-010,Medical Devices,Germany,1014.98,0,0,0,19.79605263157895,16.3,7.1,152,73.0,74094.0,0.0,0.0,0.49787234042553197,0.32075471698113206,0.3225925612735826,0.374,MEDIUM
SKU-039,Surgical Consumables,France,37.74,0,0,0,234.92763157894737,12.7,7.0,152,855.0,32268.0,0.0,0.0,0.3446808510638298,0.31603773584905664,0.13644192639604075,0.271,LOW
SKU-026,Surgical Consumables,Benelux,41.37,0,0,0,232.0,12.2,6.6,152,796.0,32931.0,0.0,0.0,0.3234042553191489,0.2971698113207547,0.1393926716483673,0.258,LOW
SKU-017,Medical Devices,Germany,814.51,0,0,0,17.789473684210527,12.8,6.6,152,61.0,49685.0,0.0,0.0,0.348936170212766,0.2971698113207547,0.21395795966869763,0.288,LOW
SKU-043,Diagnostic Equipment,France,2149.96,0,0,1,11.368421052631579,9.8,6.4,152,38.0,81698.0,0.0,0.0,0.2212765957446809,0.2877358490566038,0.35643489445411214,0.288,LOW
SKU-025,Surgical Consumables,Benelux,40.74,0,1,0,227.0328947368421,11.9,5.5,152,649.0,26440.0,0.0,0.0,0.31063829787234043,0.24528301886792456,0.11050385199097419,0.224,LOW
SKU-022,Surgical Consumables,Benelux,40.53,0,0,0,217.36184210526315,9.7,4.2,152,475.0,19252.0,0.0,0.0,0.21702127659574466,0.1839622641509434,0.07851296681190445,0.162,LOW
SKU-011,Medical Devices,Germany,896.13,0,0,0,16.526315789473685,9.2,4.2,152,36.0,32261.0,0.0,0.0,0.1957446808510638,0.1839622641509434,0.13641077222293926,0.173,LOW
SKU-002,Medical Devices,France,910.08,0,1,0,17.31578947368421,12.2,4.1,152,37.0,33673.0,0.0,0.0,0.3234042553191489,0.1792452830188679,0.14269501399712492,0.212,LOW
SKU-009,Medical Devices,Germany,876.3,0,1,0,16.592105263157894,7.6,3.9,152,34.0,29794.0,0.0,0.0,0.1276595744680851,0.169811320754717,0.12543115150274378,0.144,LOW
SKU-001,Medical Devices,Benelux,717.85,0,1,0,16.49342105263158,9.9,3.5,152,30.0,21536.0,0.0,0.0,0.22553191489361704,0.15094339622641512,0.08867812843530391,0.155,LOW
SKU-007,Medical Devices,Germany,885.27,0,0,0,16.539473684210527,7.5,3.4,152,29.0,25673.0,0.0,0.0,0.12340425531914895,0.14622641509433962,0.10709024473828269,0.128,LOW
